decision,curator_note,name,theme,origine,departement,best_tier,changement,score,notoriete,bonus_labels,bonus_article,bonus_image,bonus_frwiki,bonus_acces,bonus_visiteurs,sitelinks,labels,collections,alertes,ouvert_au_public,entre_par_remise,horaires,lat,lon,wikidata_id,wikipedia_url,image_url
,,Cirque de Salazie,cirques,wikidata,La Réunion,1,,51.4,31.1,0.0,7.3,8.0,5.0,0.0,0.0,6,,3,,inconnu,,,-21.050000,55.500000,Q1093097,https://fr.wikipedia.org/wiki/Cirque_de_Salazie,http://commons.wikimedia.org/wiki/Special:FilePath/Cirque%20de%20Salazie%20%28depuis%20le%20refuge%20de%20Belouve%29.jpg
,,Cirque du Fer-à-Cheval,cirques,wikidata,Haute-Savoie,1,,51.3,22.2,0.0,16.1,8.0,5.0,0.0,0.0,3,,2,,inconnu,,,46.066700,6.847200,Q2974276,https://fr.wikipedia.org/wiki/Cirque_du_Fer-%C3%A0-Cheval,http://commons.wikimedia.org/wiki/Special:FilePath/Cirque%20du%20Fer%20%C3%A0%20Cheval.jpg
,,Cirque de Mourèze,cirques,wikidata,Hérault,1,,50.8,22.2,0.0,15.6,8.0,5.0,0.0,0.0,3,,2,,inconnu,,,43.622200,3.359720,Q2974261,https://fr.wikipedia.org/wiki/Cirque_de_Mour%C3%A8ze,http://commons.wikimedia.org/wiki/Special:FilePath/Moureze%20panorama2.jpg
,,Cirque de Saint-Même,cirques,wikidata,Savoie,1,,49.9,22.2,0.0,14.7,8.0,5.0,0.0,0.0,3,,2,,inconnu,,,45.400000,5.891110,Q2974265,https://fr.wikipedia.org/wiki/Cirque_de_Saint-M%C3%AAme,http://commons.wikimedia.org/wiki/Special:FilePath/Cirque%20de%20Saint-M%C3%AAme.JPG
,,Dune du Pilat,dunes-marais,wikidata,Gironde,1,,99.4,57.3,0.0,29.1,8.0,5.0,0.0,0.0,35,,3,,inconnu,,,44.590000,-1.211667,Q501726,https://fr.wikipedia.org/wiki/Dune_du_Pilat,http://commons.wikimedia.org/wiki/Special:FilePath/Sommet%20de%20la%20Dune%20du%20Pilat.jpg
,,Marais de Pen an Toul,dunes-marais,wikidata,Morbihan,1,,72.4,17.6,25.0,16.8,8.0,5.0,0.0,0.0,2,site-classe,2,,inconnu,,,47.595900,-2.898200,Q3287393,https://fr.wikipedia.org/wiki/Marais_de_Pen_an_Toul,http://commons.wikimedia.org/wiki/Special:FilePath/Marais%20de%20Pen%20an%20Toul.jpg
,,Dunes de Keremma,dunes-marais,wikidata,Finistère,1,,49.3,17.6,0.0,18.7,8.0,5.0,0.0,0.0,2,,2,,inconnu,,,48.644900,-4.268320,Q3041303,https://fr.wikipedia.org/wiki/Dunes_de_Keremma,http://commons.wikimedia.org/wiki/Special:FilePath/Dunes%20de%20Keremma.jpg
,,Forêt de Tronçais,forets,wikidata,Allier,1,,76.5,36.8,0.0,26.7,8.0,5.0,0.0,0.0,9,,2,,inconnu,,,46.641250,2.721430,Q761970,https://fr.wikipedia.org/wiki/For%C3%AAt_de_Tron%C3%A7ais,http://commons.wikimedia.org/wiki/Special:FilePath/Arbres%20de%20la%20Futaie%20de%20Colbert%20en%20For%C3%AAt%20de%20Tron%C3%A7ais%20%2803%29.jpg
,,Forêt de Haguenau,forets,wikidata,Bas-Rhin,1,,75.4,36.8,0.0,25.6,8.0,5.0,0.0,0.0,9,,2,,inconnu,,,48.850000,7.883333,Q1595270,https://fr.wikipedia.org/wiki/For%C3%AAt_de_Haguenau,http://commons.wikimedia.org/wiki/Special:FilePath/For%C3%AAt%20de%20Haguenau.jpg
,,Forêt de Sénart,forets,wikidata,Essonne,1,,74.5,38.4,0.0,23.1,8.0,5.0,0.0,0.0,10,,2,,inconnu,,,48.666700,2.483330,Q639713,https://fr.wikipedia.org/wiki/For%C3%AAt_de_S%C3%A9nart,http://commons.wikimedia.org/wiki/Special:FilePath/For%C3%AAt%20de%20S%C3%A9nart%20-%20Jonquilles.jpg
,,Forêt de Saint-Germain-en-Laye,forets,wikidata,Yvelines,1,,70.9,33.3,0.0,24.6,8.0,5.0,0.0,0.0,7,,2,,inconnu,,,48.939493,2.096516,Q3078951,https://fr.wikipedia.org/wiki/For%C3%AAt_de_Saint-Germain-en-Laye,http://commons.wikimedia.org/wiki/Special:FilePath/For%C3%AAt%20de%20Saint-Germain-en-Laye%2001.jpg
,,Forêt de Retz,forets,wikidata,Aisne,1,,69.5,33.3,0.0,23.2,8.0,5.0,0.0,0.0,7,,2,,inconnu,,,49.259300,3.092420,Q3078936,https://fr.wikipedia.org/wiki/For%C3%AAt_de_Retz,http://commons.wikimedia.org/wiki/Special:FilePath/Coyolles%20%2860%29%2C%20la%20cave%20du%20Diable%20en%20for%C3%AAt%20de%20Retz%208.jpg
,,Forêt domaniale de la Coubre,forets,wikidata,Charente-Maritime,1,,69.1,25.8,0.0,30.3,8.0,5.0,0.0,0.0,4,,2,,inconnu,,,45.750000,-1.200000,Q4406086,https://fr.wikipedia.org/wiki/For%C3%AAt_domaniale_de_la_Coubre,http://commons.wikimedia.org/wiki/Special:FilePath/For%C3%AAt%20%C3%A0%20Bonne%20Anse.JPG
,,Forêt de Cerisy,forets,wikidata,Calvados,1,,66.7,28.7,0.0,25.0,8.0,5.0,0.0,0.0,5,,2,,inconnu,,,49.188900,-0.888889,Q3078838,https://fr.wikipedia.org/wiki/For%C3%AAt_de_Cerisy,http://commons.wikimedia.org/wiki/Special:FilePath/Foret%20de%20Cerisy.jpg
,,Forêt de Rennes,forets,wikidata,Ille-et-Vilaine,1,,66.2,25.8,0.0,27.4,8.0,5.0,0.0,0.0,4,,2,,inconnu,,,48.190000,-1.570000,Q3078935,https://fr.wikipedia.org/wiki/For%C3%AAt_de_Rennes,http://commons.wikimedia.org/wiki/Special:FilePath/For%C3%AAt%20de%20Rennes.JPG
,,Forêt de Carnoët,forets,wikidata,Finistère,1,,65.0,25.8,0.0,26.2,8.0,5.0,0.0,0.0,4,,2,,inconnu,,,47.830000,-3.550000,Q3078836,https://fr.wikipedia.org/wiki/For%C3%AAt_de_Carno%C3%ABt,http://commons.wikimedia.org/wiki/Special:FilePath/Sentier%20forestier%20Carno%C3%ABt.JPG
,,Forêt de Haye,forets,wikidata,Meurthe-et-Moselle,1,,63.7,25.8,0.0,24.9,8.0,5.0,0.0,0.0,4,,2,,inconnu,,,48.679167,6.082778,Q3078875,https://fr.wikipedia.org/wiki/For%C3%AAt_de_Haye,http://commons.wikimedia.org/wiki/Special:FilePath/Foret-haye1.jpg
,,Gorges du Verdon,gorges,wikidata,Var,1,,90.1,53.9,0.0,23.2,8.0,5.0,0.0,0.0,28,,2,,inconnu,,,43.737778,6.363889,Q687057,https://fr.wikipedia.org/wiki/Gorges_du_Verdon,http://commons.wikimedia.org/wiki/Special:FilePath/Verdon%20Gorge%201.jpg
,,Gorges de l'Hérault,gorges,wikidata,Hérault,1,,85.3,31.1,30.0,11.2,8.0,5.0,0.0,0.0,6,grand-site-de-france,4,,inconnu,,,43.708000,3.557070,Q3111000,https://fr.wikipedia.org/wiki/Gorges_de_l%27H%C3%A9rault,http://commons.wikimedia.org/wiki/Special:FilePath/Gorges%20de%20l%27H%C3%A9rault.jpg
,,Gorges du Pont-du-Diable,gorges,wikidata,Haute-Savoie,1,,84.5,22.2,0.0,19.7,8.0,5.0,10.0,19.6,3,,2,,oui,,"Apr-Jun,Sep: 10:00-12:00,14:00-17:00; Jul-Aug: 09:00-18:00; Jan-Mar,Oct-Dec off",46.306900,6.615820,Q2908933,https://fr.wikipedia.org/wiki/Gorges_du_Pont-du-Diable,http://commons.wikimedia.org/wiki/Special:FilePath/Gorges%20du%20Pont%20du%20Diable%20%2869%29.jpg
,,Gorges du Tarn,gorges,wikidata,Lozère,1,,81.1,46.2,0.0,21.9,8.0,5.0,0.0,0.0,17,,3,,inconnu,,,44.355000,3.561667,Q1538251,https://fr.wikipedia.org/wiki/Gorges_du_Tarn,http://commons.wikimedia.org/wiki/Special:FilePath/Saint%20Chely%20Tarn.jpg
,,Gorges du Gardon,gorges,wikidata,Gard,1,,68.2,36.8,0.0,18.4,8.0,5.0,0.0,0.0,9,,3,,inconnu,,,43.938000,4.432500,Q1338868,https://fr.wikipedia.org/wiki/Gorges_du_Gardon,http://commons.wikimedia.org/wiki/Special:FilePath/Gorges%20du%20Gardon.JPG
,,Gorges de la Nesque,gorges,wikidata,Vaucluse,1,,64.7,33.3,0.0,18.4,8.0,5.0,0.0,0.0,7,,2,,inconnu,,,44.045833,5.331667,Q752558,https://fr.wikipedia.org/wiki/Gorges_de_la_Nesque,http://commons.wikimedia.org/wiki/Special:FilePath/Gorges%20de%20la%20Nesque%20et%20Mont%20Ventoux.JPG
